model,calibration_method,n,observed_rate,mean_probability,min_probability,max_probability
Gradient boosting,isotonic,5163,0.0021305442572147975,0.0028020438437448,0.0028020438437448,0.0028020438437448
Gradient boosting,isotonic,5162,0.004455637349864394,0.0032317546799175883,0.0028020438437448,0.0043909889270714
Gradient boosting,isotonic,5163,0.0030989734650397056,0.004409128393745338,0.0043909889270714,0.0045502645502645
Gradient boosting,isotonic,5162,0.003487020534676482,0.0045502645502645,0.0045502645502645,0.0045502645502645
Gradient boosting,isotonic,5163,0.0025179159403447607,0.0045973403551636,0.0045502645502645,0.0064453754431195
Gradient boosting,isotonic,5163,0.0036800309897346505,0.0072781543975714265,0.0064453754431195,0.008700380641653
HistGradientBoosting,isotonic,5163,0.0011621150493898896,0.00031655251241370847,0.0,0.0005892751915144
HistGradientBoosting,isotonic,5163,0.0013558008909548712,0.0005892751915144,0.0005892751915144,0.0005892751915144
HistGradientBoosting,isotonic,5162,0.0019372336303758234,0.0005892751915144,0.0005892751915144,0.0005892751915144
HistGradientBoosting,isotonic,5163,0.0,0.0005892751915144,0.0005892751915144,0.0005892751915144
HistGradientBoosting,isotonic,5163,0.0013558008909548712,0.0009583519858236347,0.0005892751915144,0.0017173278378842
HistGradientBoosting,isotonic,5162,0.001743510267338241,0.0017173278378842002,0.0017173278378842,0.0017173278378842
HistGradientBoosting,isotonic,5163,0.002324230098779779,0.004432895909566175,0.0017173278378842,0.0055328361799374
HistGradientBoosting,isotonic,5162,0.0038744672607516468,0.006109603287407085,0.0055328361799374,0.0076370170709793
HistGradientBoosting,isotonic,5163,0.004648460197559558,0.007637017070979301,0.0076370170709793,0.0076370170709793
HistGradientBoosting,isotonic,5163,0.005423203563819485,0.010734584233548295,0.0076370170709793,0.25
DeepCut-inspired neural threshold,isotonic,5163,0.0001936858415649816,7.58188906506101e-05,0.0,0.00014955507
DeepCut-inspired neural threshold,isotonic,5163,0.000968429207824908,0.00014955507,0.00014955507,0.00014955507
DeepCut-inspired neural threshold,isotonic,5162,0.0,0.00014955507,0.00014955507,0.00014955507
DeepCut-inspired neural threshold,isotonic,5163,0.0007747433662599264,0.0005021437871721867,0.00014955507,0.0014836795
DeepCut-inspired neural threshold,isotonic,5163,0.0013558008909548712,0.002015888318826264,0.0014836795,0.002589332
DeepCut-inspired neural threshold,isotonic,5162,0.0021309569934134056,0.002589332,0.002589332,0.002589332
DeepCut-inspired neural threshold,isotonic,5163,0.0032926593066046872,0.004304080637052102,0.002589332,0.004941127
DeepCut-inspired neural threshold,isotonic,5162,0.005036807438977141,0.004941127,0.004941127,0.004941127
DeepCut-inspired neural threshold,isotonic,5163,0.002324230098779779,0.005212873294247531,0.004941127,0.005794302
DeepCut-inspired neural threshold,isotonic,5163,0.007747433662599264,0.01353375822132481,0.005794302,0.26923078
