subgroup,model,n,positives,prevalence,threshold,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,observed_to_expected,accuracy,balanced_accuracy,precision,recall,f1,precision_top_0p005,recall_top_0p005,lift_top_0p005,positives_top_0p005,precision_top_0p01,recall_top_0p01,lift_top_0p01,positives_top_0p01,precision_top_0p02,recall_top_0p02,lift_top_0p02,positives_top_0p02,precision_top_0p05,recall_top_0p05,lift_top_0p05,positives_top_0p05,precision_top_0p1,recall_top_0p1,lift_top_0p1,positives_top_0p1,firms
10-K only (model trained on 10-K and 10-Q),HistGradientBoosting,18551,39,0.002102312543798178,0.5,0.6317232896748887,0.00447855132340561,0.030118274339920193,0.13056820947872502,0.10052768865057375,0.10263000119437195,0.020484385845583184,0.9700824753382566,0.49885659752232786,0.0019305019305019305,0.02564102564102564,0.003590664272890485,0.010781089968195785,0.02564102564102564,5.128205128205128,1.0,0.005390544984097892,0.02564102564102564,2.564102564102564,1.0,0.002695272492048946,0.02564102564102564,1.282051282051282,1.0,0.004312435987278314,0.10256410256410256,2.051282051282051,4.0,0.0037733814888685244,0.1794871794871795,1.7948717948717945,7.0,7265
10-K only (model trained on 10-K and 10-Q),DeepCut-inspired neural threshold,18551,39,0.002102312543798178,0.5,0.7590862752919798,0.00768958625450203,0.20659244158179033,0.5747932679397201,0.34347401502245656,0.34557632756625467,0.006083496976207428,0.6606112878011967,0.7276001152405647,0.004905839531571451,0.7948717948717948,0.009751494180559924,0.02156217993639157,0.05128205128205128,10.256410256410255,2.0,0.010781089968195785,0.05128205128205128,5.128205128205128,2.0,0.005390544984097892,0.05128205128205128,2.564102564102564,2.0,0.007546762977737049,0.1794871794871795,3.589743589743589,7.0,0.007546762977737049,0.358974358974359,3.589743589743589,14.0,7265
10-Q only (model trained on 10-K and 10-Q),Logistic regression,57372,128,0.0022310534755629924,0.5,0.6800811002026412,0.005440462727084932,0.18305551777839155,0.5367757877723703,0.3245175025191796,0.3267485559947427,0.006828043872361872,0.6976573938506588,0.6029471975228845,0.0037468296057182383,0.5078125,0.007438773174639505,0.017430105277835877,0.0390625,7.812499999999999,5.0,0.012201073694485113,0.0546875,5.468749999999999,7.0,0.010458063166701526,0.09375,4.6875,12.0,0.0066234400055776325,0.1484375,2.9687499999999996,19.0,0.005229031583350763,0.234375,2.34375,30.0,7584
10-Q only (model trained on 10-K and 10-Q),Random forest,57372,128,0.0022310534755629924,0.5,0.6459509539209349,0.0043402949498644984,0.002516619856726189,0.022720432049279208,0.008495890925244554,0.010726944400807547,0.20798592704508043,0.997768946524437,0.5,0.0,0.0,0.0,0.013944084222268702,0.03125,6.25,4.0,0.008715052638917939,0.0390625,3.9062499999999996,5.0,0.006100536847242557,0.0546875,2.7343749999999996,7.0,0.004880429477794045,0.109375,2.1874999999999996,14.0,0.00418322526668061,0.1875,1.8749999999999998,24.0,7584
10-Q only (model trained on 10-K and 10-Q),Extra trees,57372,128,0.0022310534755629924,0.5,0.6373947214991964,0.0054616232420196574,0.04771919015528293,0.19831742240681324,0.16128551953683126,0.16351657301239428,0.013644203975543704,0.9767656696646447,0.5518351268255188,0.012934518997574777,0.125,0.023443223443223443,0.017430105277835877,0.0390625,7.812499999999999,5.0,0.01568709475005229,0.0703125,7.03125,9.0,0.012201073694485113,0.109375,5.468749999999999,14.0,0.007320644216691068,0.1640625,3.2812499999999996,21.0,0.005403332636129122,0.2421875,2.421875,31.0,7584
10-Q only (model trained on 10-K and 10-Q),Gradient boosting,57372,128,0.0022310534755629924,0.5,0.6198002874755433,0.003308790078755804,0.1439202292600897,0.4490936922885723,0.32482878663564263,0.3270598401112057,0.006821545179024112,0.7943770480373702,0.5461822418070016,0.0032354193273733504,0.296875,0.006401078076307589,0.010458063166701526,0.0234375,4.6875,3.0,0.005229031583350763,0.0234375,2.34375,3.0,0.0026145157916753815,0.0234375,1.171875,3.0,0.003486021055567175,0.078125,1.5624999999999998,10.0,0.003660322108345534,0.1640625,1.6406249999999998,21.0,7584
10-Q only (model trained on 10-K and 10-Q),HistGradientBoosting,57372,128,0.0022310534755629924,0.5,0.6636044825658585,0.00364622487568037,0.026137621733976785,0.11681488864492456,0.08988868047706004,0.09211973395262305,0.02421906121342489,0.974186014083525,0.503772229403955,0.0029390154298310064,0.03125,0.005372733378106112,0.0034860210555671756,0.0078125,1.5625,1.0,0.0034860210555671756,0.015625,1.5625,2.0,0.0034860210555671756,0.03125,1.5625,4.0,0.0031374189500104578,0.0703125,1.4062499999999998,9.0,0.003486021055567175,0.15625,1.5624999999999998,20.0,7584
10-Q only (model trained on 10-K and 10-Q),DeepCut-inspired neural threshold,57372,128,0.0022310534755629924,0.5,0.7694529120955907,0.007728387154088932,0.20676093525050354,0.5750824405218742,0.34327722621502976,0.3455082796905927,0.006457308280892517,0.6675730321411142,0.7359769692020124,0.005378590078328982,0.8046875,0.010685755783795,0.013944084222268702,0.03125,6.25,4.0,0.008715052638917939,0.0390625,3.9062499999999996,5.0,0.004357526319458969,0.0390625,1.9531249999999998,5.0,0.008017848427804503,0.1796875,3.5937499999999996,23.0,0.00836645053336122,0.375,3.7499999999999996,48.0,7584
Firms represented in the training period,Logistic regression,54427,167,0.003068330056773293,0.5,0.6724395293452902,0.007110510431827948,0.19416208835671897,0.5743919316894494,0.33486032063671994,0.33792865069349326,0.009079816258480899,0.6906314880482114,0.6060558941093117,0.005164737310774711,0.5209580838323353,0.010228074300493769,0.025722527422051555,0.041916167664670656,8.383233532934131,7.0,0.020210557260183365,0.0658682634730539,6.586826347305389,11.0,0.014698587098315175,0.09580838323353294,4.790419161676646,16.0,0.008451687581531224,0.1377245508982036,2.754491017964071,23.0,0.006063167178055009,0.19760479041916168,1.9760479041916164,33.0,5049
Firms represented in the training period,Random forest,54427,167,0.003068330056773293,0.5,0.6126759933873499,0.005064608082746439,0.0034132729750307777,0.028340817030964135,0.00953038929617519,0.012598719352948479,0.24354301185820218,0.9969316699432267,0.5,0.0,0.0,0.0,0.022047880647472762,0.03592814371257485,7.18562874251497,6.0,0.012861263711025778,0.041916167664670656,4.191616766467066,7.0,0.006430631855512889,0.041916167664670656,2.095808383233533,7.0,0.00551197016186819,0.08982035928143713,1.796407185628742,15.0,0.00551197016186819,0.17964071856287425,1.796407185628742,30.0,5049
