feature,mean_low_cut_standardized,mean_high_cut_standardized,mean_low_cut_original,mean_high_cut_original,mean_low_exceedance_weight,mean_high_exceedance_weight,seed
current_ratio,0.932809054851532,2.012181282043457,11.234581256429596,20.673202039598188,0.25384992361068726,0.014830702915787697,20260533
gross_margin_change,0.17811405658721924,0.9250136613845825,4.527933291253539,22.222998785499723,0.03007301315665245,0.009629325941205025,20260533
rev_growth_yoy,-0.6224047541618347,0.8402752876281738,-24.96965372941065,42.7463549909413,0.14934557676315308,0.01829848252236843,20260533
assets_growth_yoy,-0.5961121916770935,0.8286869525909424,-36.74175408061219,68.89609575209938,0.13233469426631927,0.010744119063019753,20260533
ar_growth_yoy,0.5480480790138245,1.7496280670166016,3.360351190829828,9.69280048483424,0.21587805449962616,0.005905038211494684,20260533
inventory_growth_yoy,-1.0069531202316284,-0.402484655380249,-1.345003160463319,-0.45823660694557267,0.11866901814937592,0.007295210380107164,20260533
cash_to_assets,-1.3989776372909546,-0.20822332799434662,-1.4022167076456629,0.07879063654044971,0.1262086033821106,0.29118990898132324,20260533
receivables_to_revenue,0.06744067370891571,0.5624876618385315,4.233246699749775,16.41280194290366,0.019190050661563873,0.0065143778920173645,20260533
inventory_to_revenue,-0.35892826318740845,0.3611578643321991,-6.368326558771518,11.459845240160746,0.012760690413415432,0.01272727083414793,20260533
loss_indicator,-0.6858046650886536,1.7921887636184692,0.12454051441986852,1.3607831485726727,0.5386800765991211,0.7029358148574829,20260533
tata,-0.15958285331726074,0.5660027265548706,-3.649761825117178,6.643160698164219,0.05325539410114288,0.017744777724146843,20260534
accruals_to_assets,-0.058728426694869995,0.8177868723869324,-2.219073525692626,10.214889213078624,0.05499101057648659,0.03221241012215614,20260534
wc_accruals_to_assets,-0.9490036368370056,0.42878249287605286,-35.57121528503676,10.5789700068863,0.07575684040784836,0.11849271506071091,20260534
dsri,-0.2394414246082306,0.7414028644561768,-8.430505315264968,46.52643744965192,0.01633347198367119,0.043690115213394165,20260534
gmi,-0.5085975527763367,0.1928151398897171,-8.248630558359356,5.449854286345871,0.09998709708452225,0.018814334645867348,20260534
aqi,0.21128906309604645,1.0758388042449951,5.159136020742267,28.550793873499494,0.06271343678236008,0.03349423408508301,20260534
sgi,-1.3273261785507202,0.04250698909163475,-56.60458683662928,6.812997375416861,0.3709106147289276,0.02734409086406231,20260534
sgai,-0.548591673374176,0.8552455306053162,-34.05426175732124,69.92210201938778,0.10361272841691971,0.013192860409617424,20260534
lvgi,0.10377027839422226,1.8773059844970703,9.598091872744028,80.48606711475477,0.29182887077331543,0.09801559895277023,20260534
leverage,-0.4251602590084076,0.48644596338272095,-28.610808859512765,62.8865054261393,0.31303834915161133,0.07211452722549438,20260534
roa,-0.7778109908103943,0.21308256685733795,-21.955950368401513,2.087028114781244,0.13572022318840027,0.06758103519678116,20260534
current_ratio,0.2894704341888428,2.017106771469116,5.608876682392822,20.716273211608282,0.43973642587661743,0.03715157508850098,20260534
gross_margin_change,-0.23413300514221191,0.7669046521186829,-5.2387591935977875,18.4771817356306,0.034678831696510315,0.016910823062062263,20260534
rev_growth_yoy,-0.9126512408256531,0.13051685690879822,-38.40686013165698,9.88748858765128,0.23655831813812256,0.038128554821014404,20260534
assets_growth_yoy,-0.39405861496925354,1.2511287927627563,-21.761042251654423,100.21689479570782,0.15590329468250275,0.014099557884037495,20260534
ar_growth_yoy,-0.07020966708660126,1.7154635190963745,0.1020697057046353,9.512749826935865,0.771571159362793,0.014815904200077057,20260534
inventory_growth_yoy,-1.223495364189148,-0.4717201292514801,-1.6626746859951285,-0.559806343194849,0.18347835540771484,0.009115626104176044,20260534
cash_to_assets,-0.962994396686554,0.10108063369989395,-0.8599601092558598,0.4634891719802452,0.356494277715683,0.3352911174297333,20260534
receivables_to_revenue,-0.16743426024913788,1.3611128330230713,-1.545340589877847,36.06123860497781,0.08706467598676682,0.014700480736792088,20260534
inventory_to_revenue,-0.024785947054624557,0.9044281244277954,1.9044985792828149,24.910341174025508,0.023029161617159843,0.02063329890370369,20260534
loss_indicator,-1.0744044780731201,1.8469067811965942,-0.06932749623335238,1.3880813429111838,0.8588271141052246,0.25107908248901367,20260534
tata,0.04367860406637192,0.7501959204673767,-0.7663604857635333,9.256065814871857,0.055982038378715515,0.04347521439194679,20260535
accruals_to_assets,0.24334047734737396,1.0289956331253052,2.065978316913264,13.211028429215556,0.0708654597401619,0.049532338976860046,20260535
wc_accruals_to_assets,-1.0269261598587036,-0.03250550106167793,-38.181300259991794,-4.872286130812926,0.08307255804538727,0.05512981116771698,20260535
dsri,0.7611604928970337,1.2379223108291626,47.63346215020903,74.34654212907733,0.01759742945432663,0.03093775175511837,20260535
gmi,-1.0587111711502075,-0.6799345016479492,-18.992267140579322,-11.594815510523125,0.08927275240421295,0.02123139053583145,20260535
aqi,-0.2777242660522461,0.24547894299030304,-8.071834895601896,6.084193231968158,0.045004066079854965,0.05077820643782616,20260535
sgi,-1.3133524656295776,-0.17681214213371277,-55.95766198704578,-3.3405671624711912,0.3403812348842621,0.00888807326555252,20260535
sgai,-1.2182823419570923,-0.5245139002799988,-83.65545509872666,-32.270921575798454,0.06578575819730759,0.004235093481838703,20260535
lvgi,-0.747667670249939,-0.14478443562984467,-24.433764388116394,-0.3366054403087455,0.17718930542469025,0.055062223225831985,20260535
leverage,-0.7604355216026306,0.303915798664093,-62.26216546535452,44.56607338250358,0.17308561503887177,0.5391682982444763,20260535
roa,-0.9260944128036499,0.012198744341731071,-25.55388992185659,-2.7872042232816403,0.31870055198669434,0.4760649800300598,20260535
