model,n,observed_rate,mean_probability,min_probability,max_probability
HistGradientBoosting,7592,0.004610115911485775,0.18331631152052266,0.1346308931034968,0.2495429469253431
HistGradientBoosting,7593,0.003687607006453312,0.4191057111347611,0.2495482555366052,0.965947512632661
DeepCut-inspired neural threshold,7593,0.0003951007506914263,5.6179484974761785e-05,5.7905027e-09,0.00010898428
DeepCut-inspired neural threshold,7592,0.0009220231822971549,0.0001781467594250527,0.00010899291,0.0002785659
DeepCut-inspired neural threshold,7592,0.00026343519494204424,0.03926081735027793,0.00027862698,0.09486675
DeepCut-inspired neural threshold,7592,0.0011854583772391992,0.1277363474459958,0.09487861,0.176357
DeepCut-inspired neural threshold,7593,0.0006585012511523771,0.25194655951270906,0.17638609,0.32420787
DeepCut-inspired neural threshold,7592,0.0006585879873551106,0.3779086694283456,0.3242375,0.42508885
DeepCut-inspired neural threshold,7592,0.0007903055848261328,0.482064004288725,0.42509082,0.54520524
DeepCut-inspired neural threshold,7592,0.003951527924130664,0.6051464199670706,0.5452099,0.66768813
DeepCut-inspired neural threshold,7592,0.005268703898840885,0.7295525075434668,0.6676888,0.7832639
DeepCut-inspired neural threshold,7593,0.007902015013828527,0.8413919288858158,0.78328574,0.999869
