model,calibration_method,n,observed_rate,mean_probability,min_probability,max_probability
Extra trees,platt,7592,0.002107481559536354,0.006630610540618567,0.005423363900690256,0.008227107486102775
Extra trees,platt,7593,0.0056631107599104434,0.013546773669744354,0.008227431666991969,0.25894307622148127
Extra trees,isotonic,7593,0.0,0.00015968589830969306,0.0,0.00019896538002387584
Extra trees,isotonic,7592,0.0015806111696522655,0.00019896538002387584,0.00019896538002387584,0.00019896538002387584
Extra trees,isotonic,7592,0.0,0.00019896538002387584,0.00019896538002387584,0.00019896538002387584
Extra trees,isotonic,7592,0.002107481559536354,0.0006417660644908478,0.00019896538002387584,0.0016138402943644697
Extra trees,isotonic,7593,0.001185302252074279,0.0016138402943644697,0.0016138402943644697,0.0016138402943644697
Extra trees,isotonic,7592,0.0023709167544783984,0.0016138402943644697,0.0016138402943644697,0.0016138402943644697
Extra trees,isotonic,7592,0.003424657534246575,0.0016138402943644697,0.0016138402943644697,0.0016138402943644697
Extra trees,isotonic,7592,0.003951527924130664,0.004962290179579428,0.0016138402943644697,0.0061613144137415985
Extra trees,isotonic,7592,0.002239199157007376,0.006678405650798844,0.0061613144137415985,0.008913649025069638
Extra trees,isotonic,7593,0.005136309758988542,0.015040243751134422,0.008913649025069638,0.35714285714285715
Gradient boosting,raw,7593,0.000921901751613328,0.08439672298564634,0.03408824179404957,0.10631934631793709
Gradient boosting,raw,7592,0.001053740779768177,0.12617313860683538,0.10632233655170029,0.14371979079509412
Gradient boosting,raw,7592,0.0009220231822971549,0.1663747933026241,0.14372285965585005,0.1917309846636339
Gradient boosting,raw,7592,0.0017123287671232876,0.21907175923512087,0.19175990724260986,0.24533943040872838
Gradient boosting,raw,7593,0.0026340050046095085,0.2722429175739693,0.24535308624658722,0.3011260195978114
Gradient boosting,raw,7592,0.001975763962065332,0.33269785845652766,0.3011266606973879,0.36505232621256767
Gradient boosting,raw,7592,0.0035563751317175974,0.3983211097884515,0.3650576256193375,0.43157022961186814
Gradient boosting,raw,7592,0.0027660695468914647,0.4678712570759316,0.4315787688126413,0.5062202197959381
Gradient boosting,raw,7592,0.0026343519494204425,0.5538663401713863,0.506229493908154,0.6076779896570736
Gradient boosting,raw,7593,0.0038193072566837876,0.6970280252655953,0.6076937155680509,0.9484603387885654
Gradient boosting,platt,7593,0.000921901751613328,0.0014577129182881663,0.0009247775407845883,0.0016503994893474045
Gradient boosting,platt,7592,0.001053740779768177,0.001808802374803972,0.00165042423581322,0.001944437320021406
Gradient boosting,platt,7592,0.0009220231822971549,0.002110623153036913,0.001944460415405106,0.002292663218358861
Gradient boosting,platt,7592,0.0017123287671232876,0.002482812196288175,0.0022928669505127477,0.0026638048381746045
Gradient boosting,platt,7593,0.0026340050046095085,0.0028479037224756663,0.002663898352009543,0.0030459166873607344
Gradient boosting,platt,7592,0.001975763962065332,0.0032656354777882922,0.0030459211020959455,0.003493856960169983
Gradient boosting,platt,7592,0.0035563751317175974,0.003737744939808574,0.003493894948780721,0.003987674094622418
Gradient boosting,platt,7592,0.0027660695468914647,0.004278915681562348,0.003987740074110686,0.004599381712171313
Gradient boosting,platt,7592,0.0026343519494204425,0.0050467917903248725,0.004599462777271634,0.005594964004047544
Gradient boosting,platt,7593,0.0038193072566837876,0.00695043512965663,0.005595139151242613,0.018001157025728885
Gradient boosting,isotonic,7593,0.000921901751613328,0.0005027319306909285,0.0,0.0017001381362235681
Gradient boosting,isotonic,7592,0.0014488935721812435,0.0017001381362235681,0.0017001381362235681,0.0017001381362235681
Gradient boosting,isotonic,7592,0.0006585879873551106,0.0017682159349830182,0.0017001381362235681,0.0020408163265306124
Gradient boosting,isotonic,7592,0.0013171759747102212,0.0026990443089957815,0.0020408163265306124,0.0028020438437448493
Gradient boosting,isotonic,7593,0.001185302252074279,0.0028020438437448493,0.0028020438437448493,0.0028020438437448493
Gradient boosting,isotonic,7592,0.004214963119072708,0.0033702717021789363,0.0028020438437448493,0.004390988927071402
Gradient boosting,isotonic,7592,0.0027660695468914647,0.004420150296438956,0.004390988927071402,0.00455026455026455
Gradient boosting,isotonic,7592,0.003029504741833509,0.00455026455026455,0.00455026455026455,0.00455026455026455
Gradient boosting,isotonic,7592,0.0025026343519494202,0.0046586623787560795,0.00455026455026455,0.006445375443119562
Gradient boosting,isotonic,7593,0.0039510075069142635,0.007305600492591196,0.006445375443119562,0.008700380641653072
HistGradientBoosting,raw,7593,0.0013170025023047543,0.009582327078931818,0.0018962934698976961,0.013408381628796472
HistGradientBoosting,raw,7592,0.0007903055848261328,0.01649465471678239,0.013413494663314766,0.019564602276413434
HistGradientBoosting,raw,7592,0.0007903055848261328,0.022578111941726885,0.019566006710148225,0.025794720725493513
HistGradientBoosting,raw,7592,0.001053740779768177,0.02921382596435879,0.025795703461124912,0.03295973944190063
HistGradientBoosting,raw,7593,0.0015804030027657052,0.03779147290320847,0.032960632271447875,0.043302414024762544
HistGradientBoosting,raw,7592,0.0017123287671232876,0.050531002482189516,0.04330248164225432,0.059003400734898626
HistGradientBoosting,raw,7592,0.0026343519494204425,0.0708719014612468,0.059006045490549976,0.08534138159617964
HistGradientBoosting,raw,7592,0.003819810326659642,0.10736874414921806,0.08534358503082931,0.13461267763516982
HistGradientBoosting,raw,7592,0.004610115911485775,0.1833163115205227,0.1346308931034968,0.2495429469253431
HistGradientBoosting,raw,7593,0.003687607006453312,0.4191057111347611,0.2495482555366052,0.965947512632661
HistGradientBoosting,platt,7593,0.0013170025023047543,0.0008392903573845434,0.0003188464812030779,0.0010378136217102669
HistGradientBoosting,platt,7592,0.0007903055848261328,0.001175676932319459,0.0010380540999597103,0.0013065277781667698
HistGradientBoosting,platt,7592,0.0007903055848261328,0.0014253186063444736,0.0013065851145373116,0.001547859307421814
HistGradientBoosting,platt,7592,0.001053740779768177,0.0016703238436015196,0.0015478955805498225,0.0018006752560447037
HistGradientBoosting,platt,7593,0.0015804030027657052,0.0019590606785311574,0.0018007054739743553,0.0021341752236037387
HistGradientBoosting,platt,7592,0.0017123287671232876,0.002349667842672919,0.002134177309766716,0.002594088437099897
HistGradientBoosting,platt,7592,0.0026343519494204425,0.002913924408328613,0.0025941624058154395,0.0032906191162791706
HistGradientBoosting,platt,7592,0.003819810326659642,0.0038256301085331946,0.00329067468111812,0.004466705718793129
HistGradientBoosting,platt,7592,0.004610115911485775,0.005557522635128753,0.004467123026317818,0.007028949862747431
HistGradientBoosting,platt,7593,0.003687607006453312,0.01215834067640781,0.007029068606624476,0.09261159061950087
HistGradientBoosting,isotonic,7593,0.0010536020018438036,0.0003145059385669756,0.0,0.0005892751915144372
HistGradientBoosting,isotonic,7592,0.0009220231822971549,0.0005892751915144372,0.0005892751915144372,0.0005892751915144372
HistGradientBoosting,isotonic,7592,0.002239199157007376,0.0005892751915144372,0.0005892751915144372,0.0005892751915144372
HistGradientBoosting,isotonic,7592,0.0,0.0005892751915144372,0.0005892751915144372,0.0005892751915144372
HistGradientBoosting,isotonic,7593,0.0015804030027657052,0.0010191077840665064,0.0005892751915144372,0.001717327837884252
HistGradientBoosting,isotonic,7592,0.0017123287671232876,0.0017702473348514345,0.001717327837884252,0.0029069767441860465
HistGradientBoosting,isotonic,7592,0.0017123287671232876,0.004561514295665416,0.0029069767441860465,0.005532836179937455
HistGradientBoosting,isotonic,7592,0.003951527924130664,0.006213380015741703,0.005532836179937455,0.007637017070979336
HistGradientBoosting,isotonic,7592,0.0035563751317175974,0.007637017070979336,0.007637017070979336,0.007637017070979336
HistGradientBoosting,isotonic,7593,0.005268010009219017,0.010919788340104632,0.007637017070979336,0.25
DeepCut-inspired neural threshold,raw,7593,0.0003951007506914263,9.714414748637464e-05,7.685437708460086e-08,0.00016484744264744222
DeepCut-inspired neural threshold,raw,7592,0.0009220231822971549,0.00023441698179410125,0.00016485058586113155,0.00032734827254898846
DeepCut-inspired neural threshold,raw,7592,0.00026343519494204424,0.046796413782825896,0.0003273604379501194,0.09268180280923843
DeepCut-inspired neural threshold,raw,7592,0.00026343519494204424,0.1231052629096145,0.09268300980329514,0.1744481325149536
DeepCut-inspired neural threshold,raw,7593,0.0017121032529961806,0.239670162456522,0.17445023357868195,0.30029669404029846
DeepCut-inspired neural threshold,raw,7592,0.0013171759747102212,0.3510665905566688,0.3002983331680298,0.40090763568878174
DeepCut-inspired neural threshold,raw,7592,0.001975763962065332,0.45499844049094723,0.40094175934791565,0.50820392370224
DeepCut-inspired neural threshold,raw,7592,0.0036880927291886197,0.5617585885637804,0.5082213282585144,0.6153110861778259
DeepCut-inspired neural threshold,raw,7592,0.004741833508956797,0.6653754923677168,0.6153243184089661,0.7163152694702148
DeepCut-inspired neural threshold,raw,7593,0.006716712761754247,0.7884709435411708,0.7163297533988953,0.9980660080909729
DeepCut-inspired neural threshold,platt,7593,0.0003951007506914263,9.388024808953939e-06,4.6769588379902416e-07,1.3686470992979594e-05
DeepCut-inspired neural threshold,platt,7592,0.0009220231822971549,1.720333719111983e-05,1.3686654710909352e-05,2.1546276911976747e-05
DeepCut-inspired neural threshold,platt,7592,0.00026343519494204424,0.0005272736107707781,2.1546809875871986e-05,0.0009603904327377677
DeepCut-inspired neural threshold,platt,7592,0.00026343519494204424,0.0011832036472104654,0.0009603995713405311,0.0015522903995588422
DeepCut-inspired neural threshold,platt,7593,0.0017121032529961806,0.002024973926263686,0.001552305300720036,0.0024778777733445168
DeepCut-inspired neural threshold,platt,7592,0.0013171759747102212,0.002892041729376244,0.0024778905790299177,0.003321221563965082
DeepCut-inspired neural threshold,platt,7592,0.001975763962065332,0.0038536757831420018,0.0033215328585356474,0.004421991761773825
DeepCut-inspired neural threshold,platt,7592,0.0036880927291886197,0.005117342696273434,0.0044221957214176655,0.005894624628126621
DeepCut-inspired neural threshold,platt,7592,0.004741833508956797,0.0068386176396068084,0.005894842557609081,0.007955933921039104
DeepCut-inspired neural threshold,platt,7593,0.006716712761754247,0.011141219395291942,0.007956302724778652,0.21291613578796387
DeepCut-inspired neural threshold,isotonic,7593,0.00013170025023047545,6.962860049904812e-05,0.0,0.00014955506776459515
DeepCut-inspired neural threshold,isotonic,7592,0.001053740779768177,0.00014955506776459515,0.00014955506776459515,0.00014955506776459515
DeepCut-inspired neural threshold,isotonic,7592,0.0,0.00014955506776459515,0.00014955506776459515,0.00014955506776459515
DeepCut-inspired neural threshold,isotonic,7592,0.0006585879873551106,0.0005782430768835514,0.00014955506776459515,0.0014836795162409544
DeepCut-inspired neural threshold,isotonic,7593,0.0013170025023047543,0.0020652300273492023,0.0014836795162409544,0.002589331939816475
DeepCut-inspired neural threshold,isotonic,7592,0.0017123287671232876,0.002589331940429833,0.002589331939816475,0.0025893321726471186
DeepCut-inspired neural threshold,isotonic,7592,0.003029504741833509,0.004359926835853887,0.0025893321726471186,0.004941126797348261
DeepCut-inspired neural threshold,isotonic,7592,0.004478398314014752,0.004941126797348261,0.004941126797348261,0.004941126797348261
DeepCut-inspired neural threshold,isotonic,7592,0.003161222339304531,0.0052308410580183635,0.004941126797348261,0.005794302094727755
DeepCut-inspired neural threshold,isotonic,7593,0.006453312261293296,0.01348189339429301,0.005794302094727755,0.26923078298568726
